M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,W_interpretation,p_posthoc_min,Uebung,Muskel,Abschnitt,Kennwert,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
55.24206311230371,23.246005624353145,11,69.22644000315069,20.421883598846904,11,64.8467100568207,25.609851130780065,11,11,Friedman,2.181818181818187,"2,182",2,0.3359109812391617,nein,0.0991735537190085,vernachlaessigbar,,DJ bilateral,Vastus Lateralis,Landung2,peak_emg,,,
7.343162601255235,4.922217859864042,11,6.430205152620016,2.6405493769737873,11,9.276010752519689,5.141896301710008,11,11,Friedman,1.636363636363626,"1,636",2,0.44123316775998644,nein,0.07438016528925573,vernachlaessigbar,,SQ bilateral,Biceps Femoris,Gesamt,mean_emg,,,
16.060153156376604,10.048914377513237,11,14.379244932712096,5.023342812357389,11,22.053141545932984,12.091977312001054,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,SQ bilateral,Biceps Femoris,Gesamt,peak_emg,,,
4.560643458632799,2.851138196713932,11,5.15189427585186,3.4041006370715627,11,4.684525574978282,3.1943593002227475,11,11,Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,vernachlaessigbar,,SQ bilateral,Gastrocnemius Medialis,Gesamt,mean_emg,,,
9.620213178889568,6.518511032818937,11,10.641745406918307,6.8116638519387545,11,9.393163704126765,5.89303413854883,11,11,Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,vernachlaessigbar,,SQ bilateral,Gastrocnemius Medialis,Gesamt,peak_emg,,,
6.422381669047277,4.343205453622499,11,4.574970167173411,2.449232285850269,11,8.904145949122258,6.108668090796542,11,11,Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,schwach,,SQ bilateral,Gluteus Medius,Gesamt,mean_emg,,,
19.758893785928134,12.287731181862942,11,14.810031238348948,11.08061798381484,11,24.059331703035966,13.31832077597205,11,11,Friedman,1.636363636363626,"1,636",2,0.44123316775998644,nein,0.07438016528925573,vernachlaessigbar,,SQ bilateral,Gluteus Medius,Gesamt,peak_emg,,,
8.490577777753082,4.197209962418651,11,7.745800464830404,4.339356397920257,11,8.235408000698246,3.2405571713073758,11,11,Friedman,0.545454545454561,"0,545",2,0.7613003866968678,nein,0.02479338842975277,vernachlaessigbar,,SQ bilateral,Semitendinosus,Gesamt,mean_emg,,,
20.126481242110312,10.994156885576643,11,17.462807984776585,10.898826555282001,11,21.597428940305395,7.686691099010771,11,11,Friedman,3.818181818181813,"3,818",2,0.14821506633752052,nein,0.17355371900826422,schwach,,SQ bilateral,Semitendinosus,Gesamt,peak_emg,,,
19.2081323140188,12.684222637261193,11,23.142507827576097,7.942372577812962,11,23.083778128544385,11.725218935879024,11,11,Friedman,3.4545454545454675,"3,455",2,0.17776857282813668,nein,0.15702479338843034,schwach,,SQ bilateral,Vastus Lateralis,Gesamt,mean_emg,,,
41.30600160005802,26.825453833005014,11,49.74893493225966,19.488857062483113,11,47.08588778252699,27.340553151652276,11,11,Friedman,3.818181818181813,"3,818",2,0.14821506633752052,nein,0.17355371900826422,schwach,,SQ bilateral,Vastus Lateralis,Gesamt,peak_emg,,,
13.861004596515128,8.354690009521383,11,16.431868963855923,8.907996110864518,11,20.15318669472697,9.374314061266732,11,11,Friedman,1.636363636363626,"1,636",2,0.44123316775998644,nein,0.07438016528925573,vernachlaessigbar,,SQ einbeinig R,Biceps Femoris,Gesamt,mean_emg,,,
29.830499428241627,17.93065671876,11,37.482161568534885,22.56894335704648,11,44.082613894384146,11.863004321281757,11,11,Friedman,6.545454545454561,"6,545",2,0.037902914400958214,ja,0.2975206611570255,schwach,0.041015625,SQ einbeinig R,Biceps Femoris,Gesamt,peak_emg,0.720703125,0.041015625,0.4423828125
11.084921339438294,4.407646545067043,11,10.790595408421995,4.443974707385579,11,8.529389207689174,4.469898761550407,11,11,Friedman,1.2727272727272805,"1,273",2,0.5292133415000482,nein,0.05785123966942184,vernachlaessigbar,,SQ einbeinig R,Gastrocnemius Medialis,Gesamt,mean_emg,,,
24.60707794916667,10.081080085749914,11,25.536140631496902,11.841626882265732,11,18.32987936015012,9.0439575214588,11,11,Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,vernachlaessigbar,,SQ einbeinig R,Gastrocnemius Medialis,Gesamt,peak_emg,,,
27.21650669013143,15.445861741251973,11,28.39295213174088,18.278408800110775,11,49.19423493366946,28.155741073897172,11,11,Friedman,3.4545454545454675,"3,455",2,0.17776857282813668,nein,0.15702479338843034,schwach,,SQ einbeinig R,Gluteus Medius,Gesamt,mean_emg,,,
59.631808514525375,34.86026233757576,11,63.11208536762585,46.948782737704036,11,101.28847253781852,51.85436766667115,11,11,Friedman,5.0909090909090935,"5,091",2,0.07843739051713058,nein,0.23140495867768607,schwach,,SQ einbeinig R,Gluteus Medius,Gesamt,peak_emg,,,
28.600245351125636,15.086749647017395,11,28.204887603022556,10.596896550025324,11,26.46496182978801,9.577712219072492,11,11,Friedman,0.0,"0,000",2,1.0,nein,0.0,vernachlaessigbar,,SQ einbeinig R,Semitendinosus,Gesamt,mean_emg,,,
57.22740627440871,27.430757686126434,11,57.668381495528486,22.342199985420642,11,54.34539673159343,23.627967070085305,11,11,Friedman,0.7272727272727195,"0,727",2,0.6951439283988814,nein,0.03305785123966907,vernachlaessigbar,,SQ einbeinig R,Semitendinosus,Gesamt,peak_emg,,,
27.607641982685017,16.154866750009997,11,39.71298518399329,15.00061347459451,11,40.8057299848299,19.061407720327804,11,11,Friedman,5.0909090909090935,"5,091",2,0.07843739051713058,nein,0.23140495867768607,schwach,,SQ einbeinig R,Vastus Lateralis,Gesamt,mean_emg,,,
54.31290522314635,32.00419531694293,11,78.6450479101445,31.301112311063783,11,81.65422023495081,35.07323708349751,11,11,Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,schwach,,SQ einbeinig R,Vastus Lateralis,Gesamt,peak_emg,,,
